,segmentId,frc,speedLimit,streetName,distance,timeSet,dateRange,probeCount
26485,13600001164788,3,50,Jalan Doktor Wahidin,80.2,2,1,12695
26486,13600001672050,5,50,Jalan Kali Baru Timur 5,16.04,2,1,1396
26487,13600001198774,5,50,Jalan Letnan Jenderal Suprapto,62.28,2,1,4367
26488,13600001279051,1,50,Jalan Jenderal Ahmad Yani,223.88,2,1,14136
26489,13600002909413,5,40,Jalan Letnan Jenderal Suprapto,25.6,2,1,2381
26490,13600001115614,1,80,Jalan Suryo Pranoto,41.52,2,1,26070
26491,13600001090971,4,50,Jalan Tanah Abang 1,91.49,2,1,597
26492,13600001097788,4,50,Jalan Suryo Pranoto,178.85,2,1,6210
26493,13600002326797,1,60,Jalan Balikpapan Raya,4.6,2,1,21434
26494,13600001351981,1,80,Jalan Suryo Pranoto,85.1,2,1,24317
26495,13600001104398,2,50,Jalan Kesehatan,10.58,2,1,8968
26496,13600001954974,5,50,Jalan Letnan Jenderal Suprapto,70.0,2,1,6426
26497,13600002462746,1,60,Jalan Balikpapan Raya,4.48,2,1,23161
26498,13600001275359,5,50,Jalan Kali Baru Timur 5,35.72,2,1,1348
26499,13600001104399,2,50,Jalan Kesehatan,9.19,2,1,12117
26500,13600002326800,1,60,Jalan Balikpapan Raya,92.78,2,1,21054
26501,13600001133096,3,50,Jalan Rasa Mulya 1,58.34,2,1,19173
26502,13600002557087,5,50,Jalan Kali Baru Timur 5,10.95,2,1,1371
26503,13600002062735,5,50,Jalan Letnan Jenderal Suprapto,43.32,2,1,6152
26504,13600001089165,1,50,Jalan Majapahit,71.62,2,1,45182
26505,13600001902401,4,50,Jalan Bungur Besar,62.61,2,1,7241
26506,13600001570966,3,50,Jalan Rasa Mulya 1,19.53,2,1,19331
26507,13600003094821,3,40,Jalan Letnan Jenderal Suprapto,150.27,2,1,31422
26508,13600004706190,5,40,Jalan Letnan Jenderal Suprapto,18.35,2,1,1828
26509,13600002570920,5,50,Jalan Kali Baru Timur 5,21.35,2,1,1377
26510,13600001469370,1,60,Jalan Balikpapan Raya,60.59,2,1,22296
26511,13600003579274,3,50,Jalan Abdul Muis,5.77,2,1,9650
26512,13600003471266,1,60,Jalan Balikpapan Raya,44.63,2,1,22151
26513,13600001673241,5,50,Jalan Letnan Jenderal Suprapto,72.18,2,1,4180
26514,13600002503948,4,50,Jalan Bungur Besar,28.13,2,1,7272
26515,13600002134508,5,50,Jalan Letnan Jenderal Suprapto,6.09,2,1,4260
26516,13600001104321,5,50,Jalan Veteran 1,302.01,2,1,939
26517,13600003094824,3,40,Jalan Letnan Jenderal Suprapto,58.26,2,1,33077
26518,13600003094828,3,40,Jalan Letnan Jenderal Suprapto,5.99,2,1,33965
26519,13600002755420,1,50,Jalan Majapahit,7.13,2,1,42432
26520,13600001336128,2,50,Jalan Kesehatan,67.2,2,1,12057
26521,13600002363354,5,50,Jalan Kali Baru Timur 5,38.28,2,1,1348
26522,13600001144934,3,50,Jalan Doktor Wahidin,242.48,2,1,14624
26523,13600001412211,5,50,Jalan Letnan Jenderal Suprapto,70.35,2,1,4042
26524,13600001100212,2,50,Jalan Kesehatan,13.31,2,1,12296
26525,13600002178585,3,50,Jalan Medan Merdeka Utara,137.87,2,1,5647
26526,13600001497318,5,50,Jalan Veteran 1,14.3,2,1,2021
26527,13600001065057,5,50,Jalan Letnan Jenderal Suprapto,24.82,2,1,4332
26528,13600002386675,5,50,Jalan Veteran 1,24.33,2,1,2008
26529,13600003094819,3,40,Jalan Letnan Jenderal Suprapto,73.26,2,1,33787
26530,13600001270165,3,50,Jalan Lapangan Banteng Barat,49.3,2,1,16028
26531,13600001570453,3,50,Jalan Perwira,47.5,2,1,17742
26532,13600001495221,3,30,Jalan Medan Merdeka Utara,22.37,2,1,6774
26533,13600001225196,4,50,Jalan Bungur Besar,50.78,2,1,7089
26534,13600001326635,1,80,Jalan Majapahit,26.76,2,1,16291
26535,13600001515497,2,50,Jalan Gunung Sahari Raya,78.71,2,1,28145
26536,13600001308063,1,50,Jalan Jenderal Ahmad Yani,71.22,2,1,37373
26537,13600001570968,3,50,Jalan Rasa Mulya 1,82.24,2,1,19097
26538,13600001351731,3,50,Jalan Medan Merdeka Utara,27.67,2,1,58294
26539,13600001351729,3,50,Jalan Medan Merdeka Utara,22.33,2,1,39541
26540,13600002468721,3,30,Jalan Veteran 3,34.7,2,1,18694
26541,13600001063830,3,50,Jalan Medan Merdeka Utara,35.06,2,1,1646
26542,13600002573563,3,50,Jalan Medan Merdeka Barat,18.66,2,1,18689
26543,13600001451583,4,50,Jalan Bungur Besar,33.5,2,1,7002
26544,13600001745508,3,50,Jalan Medan Merdeka Barat,33.42,2,1,18593
26545,13600001447506,5,50,Jalan Kali Baru Timur 5,84.5,2,1,686
26546,13600001128353,2,50,Jalan Gunung Sahari Raya,51.8,2,1,28204
26547,13600001341803,5,50,Jalan Kalibaru Timur 3,110.84,2,1,891
26548,13600001140669,5,50,Jalan Kalibaru Timur 3,61.14,2,1,1017
26549,13600001951219,5,50,Jalan Timah,9.97,2,1,2735
26550,13600001115489,5,50,Jalan Timah,51.13,2,1,746
26551,13600002751534,5,50,Jalan Timah,18.16,2,1,787
26552,13600001951222,5,50,Jalan Timah,13.62,2,1,2739
26553,13600001447376,5,50,Jalan Timah,94.41,2,1,772
26554,13600001519080,5,50,Jalan Timah,56.23,2,1,820
26555,13600001570967,3,50,Jalan Rasa Mulya 1,60.79,2,1,19107
26556,13600001441929,5,50,Jalan Timah,9.97,2,1,2752
26557,13600001252211,3,50,Jalan Lapangan Banteng Barat,89.8,2,1,32740
26558,13600002386693,3,50,Jalan Medan Merdeka Barat,35.63,2,1,18578
26559,13600001326634,1,80,Jalan Medan Merdeka Barat,79.23,2,1,16067
26560,13600001570452,3,50,Jalan Perwira,26.63,2,1,35551
26561,13600001339918,3,50,Jalan Pejambon,11.51,2,1,25195
26562,13600002570824,3,50,Jalan Lapangan Banteng Selatan,240.7,2,1,10135
26563,13600002091655,3,50,Jalan Lapangan Banteng Selatan,53.68,2,1,7998
26564,13600003884481,5,50,Jalan Letnan Jenderal Suprapto,38.96,2,1,4427
